"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"LTTS","L&T Technology Services Limited","7(2)","Amit Chadha","Director","Equity Shares","157600","0.15",,"4100","23648800","Sell","Equity Shares","153500","0.15","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 17:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171019_1244595_17092024051837_WEB.xml"
"LTTS","L&T Technology Services Limited","7(2)","Sunil Prasad","Employees/Designated Employees","Equity Shares","651","0",,"100","571000","Sell","Equity Shares","551","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 17:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171019_1244595_17092024051837_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Ajeet Singh Manral","Employees/Designated Employees","Equity Shares","14","0",,"14","110600","Sell","Equity Shares","Nil","0","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","17-Sep-2024 17:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171015_1244585_17092024050642_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Niraj Seth","Employees/Designated Employees","Equity Shares","4084","0",,"600","4718000","Sell","Equity Shares","3484","0","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 17:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171015_1244585_17092024050642_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Arif Ismail Parker","Employees/Designated Employees","Equity Shares","49197","0.04",,"1750","13706245","Sell","Equity Shares","47447","0.04","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 17:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171015_1244585_17092024050642_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","119768","0.09",,"15945","159450","Sell","Equity Shares","103823","0.08","12-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","17-Sep-2024 17:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171015_1244585_17092024050642_WEB.xml"
"DODLA","Dodla Dairy Limited","7(2)","Busireddy Venkat Krishna Reddy","Key Managerial Personnel","Equity Shares","1439275","2.38",,"62500","76066155","Sell","Equity Shares","1376775","2.28","16-Sep-2024","17-Sep-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171013_1244581_17092024045852_WEB.xml"
"FILATEX","Filatex India Limited","7(2)","RANBIR KUMAR VIJ","Immediate relative","Equity Shares","51543","0.01",,"20000","1387302","Sell","Equity Shares","31543","0.01","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171011_1244578_17092024045726_WEB.xml"
"DODLA","Dodla Dairy Limited","7(2)","Busireddy Venkat Krishna Reddy","Key Managerial Personnel","Equity Shares","1439275","2.38",,"62500","76066155","Pledge Revoke","Equity Shares","1376775","2.28","16-Sep-2024","17-Sep-2024","17-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","17-Sep-2024 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171010_1244572_17092024045536_WEB.xml"
"SAPPHIRE","Sapphire Foods India Limited","7(2)","Vikrant Vohra","Employees/Designated Employees","Equity Shares","60000","0.02",,"20000","6560000","Sell","Equity Shares","40000","0.01","16-Sep-2024","16-Sep-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171006_1244562_17092024044451_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","AMIT KUMAR AGGARWAL","Employees/Designated Employees","Equity Shares","26022","0.02",,"10500","13462473","Sell","Equity Shares","15522","0.01","26-Jul-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","BSE,NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","Parag Naik","Employees/Designated Employees","Equity Shares","39038","0.01",,"33059","42496345","Sell","Equity Shares","5979","0","22-Jul-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","Abhirup Mukherjee","Employees/Designated Employees","Equity Shares","4906","0",,"500","659549","Sell","Equity Shares","4406","0","09-Sep-2024","09-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","GAJENDRA SINGH RANKA","Employees/Designated Employees","Equity Shares","45111","0.03",,"3000","3804289","Sell","Equity Shares","42111","0.02","11-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","MAHESH KESHAV PRABHU","Employees/Designated Employees","Equity Shares","55015","0.03",,"11015","14288728","Sell","Equity Shares","44000","0.03","26-Jul-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","BSE,NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","Raghuram U","Employees/Designated Employees","Equity Shares","7850","0",,"900","1147960","Sell","Equity Shares","6950","0","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"TEJASNET","Tejas Networks Limited","7(2)","Yogesh Verma","Employees/Designated Employees","Equity Shares","60526","0.04",,"5000","6413433","Sell","Equity Shares","55526","0.03","13-Sep-2024","13-Sep-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171004_1244549_17092024043032_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Amit Vora","-","Equity Shares","27721","0",,"1000","306000","Sell","Equity Shares","26721","0","16-Sep-2024","16-Sep-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171003_1244541_17092024042546_WEB.xml"
"INFY","Infosys Limited","7(2)","Inderpreet Sawhney","-","ADR/GDR/FCCB","150522","0",,"2834","5517515","Buy","ADR/GDR/FCCB","153356","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","17-Sep-2024 16:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171000_1244522_17092024041115_WEB.xml"
"INFY","Infosys Limited","7(2)","Anand Swaminathan","-","ADR/GDR/FCCB","124712","0",,"1667","3245482","Buy","ADR/GDR/FCCB","126379","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","17-Sep-2024 16:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171000_1244522_17092024041115_WEB.xml"
"INFY","Infosys Limited","7(2)","Komal Kumar Jain","-","ADR/GDR/FCCB","14782","0",,"917","1785307","Buy","ADR/GDR/FCCB","15699","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","17-Sep-2024 16:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171000_1244522_17092024041115_WEB.xml"
"AMIORG","Ami Organics Limited","7(2)","MEHUL MANSUKHBHAI KOLADIA","Employees/Designated Employees","Equity Shares","200000","0.49",,"25000","38510310","Sell","Equity Shares","175000","0.43","13-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 16:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170998_1244515_17092024040113_WEB.xml"
"ETHOSLTD","Ethos Limited","7(2)","NAGARAJAN SUBRAMANIAN and GITA NAGARAJAN","Other","Equity Shares","21009","0.09",,"1980","6878520","Sell","Equity Shares","19029","0.08","13-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170997_1244505_17092024035758_WEB.xml"
"ESTER","Ester Industries Limited","7(2)","Girish Behal","-","Equity Shares","10","0",,"87880","9227400","Buy","Equity Shares","87890","0.09","14-Sep-2024","14-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","17-Sep-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170994_1244499_17092024035648_WEB.xml"
"PATELENG","Patel Engineering Limited","7(2)","JANKY PATEL","Promoters","Equity Shares","Nil","0",,"149900","8965519","Buy","Equity Shares","149900","0.02","13-Sep-2024","13-Sep-2024","16-Sep-2024","Others","-","-","0","0","0","0","NA","-","17-Sep-2024 15:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170993_1244495_17092024035454_WEB.xml"
"BAIDFIN","Baid Finserv Limited","7(2)","ASMITA BAID","Promoter Group","Equity Shares","100","0",,"135000","2232985","Buy","Equity Shares","135100","0.11","16-Sep-2024","16-Sep-2024","17-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170990_1244475_17092024033252_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Sumitra Devi Agarwal","Promoter Group","Equity Shares","892553","0.42",,"2065","36963","Sell","Equity Shares","890488","0.42","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170988_1244469_17092024032242_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Hari Prasad Agarwala & Ors.","Promoter Group","Equity Shares","1153927","0.54",,"2500","44750","Sell","Equity Shares","1151427","0.54","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170986_1244466_17092024032030_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Route Mobile Employee Welfare Trust","Other","Equity Shares","174165","0.28",,"144305","239661744","Pledge","Equity Shares","174165","0.28","13-Sep-2024","13-Sep-2024","16-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","17-Sep-2024 15:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170984_1244461_17092024031841_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Route Mobile Employee Welfare Trust","Other","Equity Shares","Nil","0",,"125","37500","Buy","Equity Shares","125","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","17-Sep-2024 15:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170984_1244461_17092024031841_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Route Mobile Employee Welfare Trust","Other","Equity Shares","125","0",,"174040","56764886","Buy","Equity Shares","174165","0.28","13-Sep-2024","13-Sep-2024","16-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","17-Sep-2024 15:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170984_1244461_17092024031841_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Bhawna Agarwal","Promoter Group","Equity Shares","872525","0.41",,"12433","223115","Sell","Equity Shares","860092","0.41","11-Sep-2024","12-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170983_1244458_17092024031809_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6669166","0.27",,"2068","1925158","Sell","Equity Shares","6667098","0.27","11-Sep-2024","11-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170981_1244448_17092024031032_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6656445","0.27",,"27485","27485","Sell","Equity Shares","6628960","0.27","12-Sep-2024","12-Sep-2024","16-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","17-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170981_1244448_17092024031032_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6657419","0.27",,"974","921287","Sell","Equity Shares","6656445","0.27","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170981_1244448_17092024031032_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6658663","0.27",,"1244","1176628","Sell","Equity Shares","6657419","0.27","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170981_1244448_17092024031032_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6665621","0.27",,"6958","6958","Sell","Equity Shares","6658663","0.27","11-Sep-2024","11-Sep-2024","13-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","17-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170981_1244448_17092024031032_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6667098","0.27",,"1477","1374453","Sell","Equity Shares","6665621","0.27","11-Sep-2024","11-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170981_1244448_17092024031032_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2600453","0.15",,"65","49583","Sell","Equity Shares","2600388","0.15","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170978_1244443_17092024030031_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2601070","0.15",,"617","474577","Sell","Equity Shares","2600453","0.15","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170978_1244443_17092024030031_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2618122","0.15",,"17052","170520","Sell","Equity Shares","2601070","0.15","12-Sep-2024","12-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","17-Sep-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170978_1244443_17092024030031_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2635688","0.15",,"16773","12591113","Sell","Equity Shares","2618915","0.15","11-Sep-2024","11-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170978_1244443_17092024030031_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2618915","0.15",,"793","599616","Sell","Equity Shares","2618122","0.15","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170978_1244443_17092024030031_WEB.xml"
"CUPID","Cupid Limited","7(2)","Aditya Kumar Halwasiya","Promoters","Equity Shares","76940360","28.66",,"325000","27638693","Buy","Equity Shares","77265360","28.78","16-Sep-2024","16-Sep-2024","17-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","17-Sep-2024 14:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170976_1244435_17092024025842_WEB.xml"
"PROZONER","Prozone Realty Limited","7(2)","Akhil Chaturvedi Family Trust","Promoter Group","Equity Shares","1077565","0.71",,"56500","1623608","Sell","Equity Shares","1021065","0.67","12-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 14:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170974_1244420_17092024024925_WEB.xml"
"MEGASOFT","Megasoft Limited","7(2)","Ramanagaram Enterprises Private Limited","Promoters","Equity Shares","28100000","38.09",,"100000","5453835","Sell","Equity Shares","28000000","37.96","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 14:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170972_1244416_17092024024504_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","SECURA INDIA TRUST","Promoter Group","Equity Shares","1379871","7.48",,"3250","1743198","Buy","Equity Shares","1383121","7.49","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","17-Sep-2024 14:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170968_1244398_17092024021600_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Narayan S. A.","-","Equity Shares","1196974","0.06",,"11000","3640002","Sell","Equity Shares","1185974","0.06","12-Sep-2024","12-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 13:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170966_1244393_17092024015547_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Oscar Gomes","-","Equity Shares","47000","0",,"500","905485","Sell","Equity Shares","46500","0","12-Sep-2024","12-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 13:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170966_1244393_17092024015547_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Virat S Diwanji","-","Equity Shares","103017","0",,"400","720279","Sell","Equity Shares","102617","0","11-Sep-2024","13-Sep-2024","15-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 13:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170966_1244393_17092024015547_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Cynthia Gomes","-","Equity Shares","260042","0",,"5000","9083622","Sell","Equity Shares","255042","0","12-Sep-2024","12-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 13:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170966_1244393_17092024015547_WEB.xml"
"RAINBOW","Rainbow Childrens Medicare Limited","7(2)","Dr. Pranathi Subrahmanyam Maddirala","Employees/Designated Employees","Equity Shares","426379","0.42",,"5000","6675085","Sell","Equity Shares","421379","0.41","13-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 13:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170963_1244378_17092024014112_WEB.xml"
"DLINKINDIA","D-Link (India) Limited","7(2)","MUKESH TIRTHDAS LULLA","Director","Equity Shares","2327853","6.56",,"51032","36162918","Sell","Equity Shares","2276821","6.41","12-Sep-2024","12-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 13:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170960_1244359_17092024012238_WEB.xml"
"VIPULLTD","Vipul Limited","7(2)","PUNIT BERIWALA","Promoters","Equity Shares","5148573","3.65",,"300000","300000","Sell","Equity Shares","4848573","3.44","16-Sep-2024","16-Sep-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 12:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170957_1244335_17092024123526_WEB.xml"
"VIPULLTD","Vipul Limited","7(2)","PUNIT BERIWALA","Promoters","Equity Shares","10015537","7.11",,"2500000","2500000","Sell","Equity Shares","7515537","5.33","16-Sep-2024","16-Sep-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 12:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170957_1244335_17092024123526_WEB.xml"
"21STCENMGM","21st Century Management Services Limited","7(2)","KRISHNAN M","Immediate relative","Equity Shares","43700","0.43",,"13822","1843000","Sell","Equity Shares","29878","0.29","12-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","17-Sep-2024 11:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170953_1244303_17092024113523_WEB.xml"
"EXICOM","Exicom Tele-Systems Limited","7(2)","Srinivasa Rao Saripalli","Employees/Designated Employees","Equity Shares","517680","0.43",,"2000","684000","Sell","Equity Shares","515680","0.43","09-Sep-2024","09-Sep-2024","10-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 11:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170951_1244297_17092024113049_WEB.xml"
"EXICOM","Exicom Tele-Systems Limited","7(2)","Srinivasa Rao Saripalli","Employees/Designated Employees","Equity Shares","515520","0.43",,"34053","12203573","Sell","Equity Shares","481467","0.4","11-Sep-2024","11-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 11:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170951_1244297_17092024113049_WEB.xml"
"EXICOM","Exicom Tele-Systems Limited","7(2)","Srinivasa Rao Saripalli","Employees/Designated Employees","Equity Shares","481467","0.4",,"12745","4540916","Sell","Equity Shares","468722","0.39","13-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 11:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170951_1244297_17092024113049_WEB.xml"
"EXICOM","Exicom Tele-Systems Limited","7(2)","Srinivasa Rao Saripalli","Employees/Designated Employees","Equity Shares","515680","0.43",,"160","54892","Sell","Equity Shares","515520","0.43","10-Sep-2024","10-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 11:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170951_1244297_17092024113049_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Praveen Siddannavar","Employees/Designated Employees","Equity Shares","50000","0.02",,"7500","4954398","Sell","Equity Shares","42500","0.02","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","17-Sep-2024 11:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170950_1244283_17092024111439_WEB.xml"
"VIMTALABS","Vimta Labs Limited","7(2)","Dr Muni Nagendra Prasad Poola","-","Equity Shares","2535","0.01",,"2535","1367868","Sell","Equity Shares","Nil","0","23-Jul-2024","28-Aug-2024","17-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","17-Sep-2024 10:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170948_1244275_17092024105407_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","Dibyendu Halder","Employees/Designated Employees","Equity Shares","31600","0.01",,"5000","31628000","Sell","Equity Shares","26600","0.01","11-Sep-2024","12-Sep-2024","12-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 22:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170944_1244231_16092024101348_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","Jignesh Naresh Jariwala","Employees/Designated Employees","Equity Shares","9500","0",,"3000","19050330","Sell","Equity Shares","6500","0","11-Sep-2024","11-Sep-2024","12-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","16-Sep-2024 22:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170944_1244231_16092024101348_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","HARSH NAIDU","Employees/Designated Employees","Equity Shares","53670","0.02",,"4898","30862298","Sell","Equity Shares","48772","0.02","12-Sep-2024","12-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 22:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170944_1244231_16092024101348_WEB.xml"
"COFORGE","Coforge Limited","7(2)","Gautam Samanta","Key Managerial Personnel","Equity Shares","5105","0",,"4500","31221000","Sell","Equity Shares","605","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 20:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170936_1244210_16092024084220_WEB.xml"
